epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.5835,1.49768,1.06515,1.32258,0.88467,0.96,0.95778,0.44153,1.78899,0.97349,1.53692,0.00183764,0.00183764,0.00183764
43,43.5464,1.37167,0.98968,1.26489,0.85412,0.93715,0.89024,0.39606,1.92229,1.05899,1.59021,0.00183368,0.00183368,0.00183368
44,44.5096,1.44644,1.00064,1.29709,0.87121,0.84,0.83851,0.43192,1.78592,0.99316,1.52226,0.00182972,0.00182972,0.00182972
45,45.4652,1.47459,1.00476,1.31658,0.91447,0.96,0.9177,0.46349,1.70635,0.95472,1.47729,0.00182576,0.00182576,0.00182576
46,46.4288,1.42542,1.00302,1.25,0.91853,1,0.9459,0.4698,1.66179,0.98619,1.51979,0.0018218,0.0018218,0.0018218
47,47.3926,1.47352,1.11504,1.38171,0.88444,0.91846,0.86499,0.4205,1.66186,0.98092,1.48876,0.00181784,0.00181784,0.00181784
48,48.3615,1.45154,0.95444,1.28981,0.6967,0.76,0.615,0.23256,1.92829,1.40734,1.6433,0.00181388,0.00181388,0.00181388
49,49.3131,1.45328,1.03336,1.23166,0.71068,0.8,0.67226,0.25004,1.88281,1.35328,1.64287,0.00180992,0.00180992,0.00180992
50,50.2822,1.45967,1.01868,1.29353,0.89975,0.88,0.92444,0.38821,1.79986,1.20578,1.61869,0.00180596,0.00180596,0.00180596
51,51.2412,1.3762,0.99622,1.27687,0.79184,0.88,0.82104,0.40088,1.87094,1.19991,1.61963,0.001802,0.001802,0.001802
52,52.2069,1.46613,0.97683,1.29305,0.85105,0.92,0.91751,0.45621,1.66957,0.9487,1.44,0.00179804,0.00179804,0.00179804
53,53.1618,1.38779,0.99086,1.24684,0.86428,0.92,0.89935,0.43132,1.76052,0.96388,1.42439,0.00179408,0.00179408,0.00179408
54,54.1249,1.46596,1.02067,1.2663,0.82913,0.92,0.91399,0.35569,1.95039,1.04628,1.57123,0.00179012,0.00179012,0.00179012
55,55.086,1.4007,0.98723,1.29234,0.86376,0.88,0.84507,0.38219,1.85061,1.02613,1.51211,0.00178616,0.00178616,0.00178616
56,56.0502,1.38248,0.97949,1.22708,0.9578,0.90823,0.97976,0.43071,1.72586,0.94476,1.47982,0.0017822,0.0017822,0.0017822
